id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-07-06T01:09:41;RAM Focused;PAID;CASH_ON_DELIVERY;2020-07-06T09:31:48;64379;Australia 1080p Intranet;1
2;2020-07-05T22:23:57;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-07-06T02:19:38;8068;Baby;2
3;2020-07-06T08:05:45;monitor;CANCELLED;CREDIT_CARD;2020-07-05T23:57:07;97394;Rubber synergy program;3
4;2020-07-05T20:39:47;EXE parse strategic;CANCELLED;PAYPAL;2020-07-06T00:44:57;2286;HTTP;4
5;2020-07-05T16:54:58;black Awesome;PAID;CASH_ON_DELIVERY;2020-07-05T16:56:52;49531;Agent SDD auxiliary;5
6;2020-07-06T03:27:32;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-07-05T19:19:42;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-07-06T06:01:08;back up Toys;ISSUED;PAYPAL;2020-07-06T08:56:47;10756;Arizona Awesome Fresh Soap system;7
8;2020-07-06T02:33:18;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-07-06T02:22:21;50263;deploy;8
9;2020-07-05T20:23:16;Credit Card Account;CANCELLED;CREDIT_CARD;2020-07-06T06:46:25;308;payment Fantastic Fresh Soap;9
10;2020-07-06T06:47:39;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-07-06T10:33:28;94911;Granite Rubber Pizza;10
